user_id,recipe_id,rating
6357,98783,5
98063,98783,5
138861,98783,5
206722,98783,5
39194,98783,5
55380,98783,5
102058,98783,5
202661,98783,5
144431,98783,5
158087,98783,5
152393,98783,4
106867,98783,3
110433,98783,5
381180,98783,5
231054,98783,5
189616,98783,5
469903,98783,5
226066,98783,5
537188,98783,3
13483,98783,5
97780,98783,3
297303,98783,3
274467,98783,5
87236,98783,5
688566,98783,5
222564,98783,5
140132,98783,5
69838,152116,5
56680,152116,5
220420,152116,5
25792,152116,5
64154,152116,5
124249,152116,5
171303,152116,5
335737,152116,5
48920,152116,5
49168,152116,5
29782,152116,5
88099,152116,5
215898,152116,5
11176,152116,5
251626,152116,5
169969,152116,5
302094,152116,5
844554,152116,5
648882,152116,5
8629,152116,4
192849,152116,5
135887,152116,5
447742,152116,5
173579,152116,5
176481,152116,4
2156777,152116,5
107135,135585,5
53932,135585,5
33159,135585,5
60260,135585,5
196296,135585,5
217226,135585,4
237330,135585,5
294700,135585,5
58439,135585,4
269891,135585,5
246936,135585,5
355637,135585,4
173314,135585,4
47907,135585,4
280271,135585,5
229850,135585,4
167242,135585,4
39301,135585,5
225179,135585,5
311566,135585,5
371738,135585,5
534623,135585,4
478451,135585,5
226462,135585,5
383853,135585,5
227652,135585,4
49561,135585,5
497077,135585,5
123871,135585,5
632249,135585,4
470351,135585,5
440735,135585,4
718620,135585,3
284922,135585,5
368897,135585,5
222433,135585,5
353131,135585,5
169712,135585,4
344087,135585,5
352814,135585,5
444967,135585,5
846154,135585,5
358698,135585,4
113509,135585,3
13483,135585,5
231057,135585,5
189475,135585,5
85018,135585,5
227607,135585,5
1179225,135585,4
178742,135585,5
166294,135585,4
928301,135585,4
369715,135585,4
2324285,135585,4
293757,135585,5
310001,135585,5
2574795,135585,3
894666,135585,5
18660,12572,5
58407,12572,4
86627,12572,5
56181,12572,5
60992,12572,5
250238,12572,4
55729,12572,5
98165,12572,5
104472,12572,5
37449,12572,5
68884,12572,5
31499,12572,5
51011,12572,5
103876,12572,5
64583,12572,4
177933,12572,5
39301,12572,5
425105,12572,5
111291,12572,5
357723,12572,5
173314,12572,5
171790,12572,5
315055,12572,4
166294,12572,5
407007,12572,5
363962,12572,5
375111,12572,5
837995,12572,5
874900,12572,4
876090,12572,5
81522,12572,5
1191030,12572,5
355637,12572,4
235355,12572,4
184723,86858,5
173579,86858,5
125773,86858,5
60989,86858,5
147107,86858,4
68960,86858,4
166711,86858,5
309967,86858,5
142878,86858,5
210117,86858,5
114681,86858,3
149363,86858,5
49168,86858,5
97780,86858,3
768828,86858,0
494084,86858,4
59064,8507,5
7802,8507,5
26512,8507,5
8688,8507,5
185105,8507,5
175574,8507,5
71324,8507,5
96177,8507,5
133174,8507,5
29196,8507,5
363962,8507,5
373817,8507,5
431813,8507,5
158086,8507,5
171084,8507,5
53932,8507,5
207176,8507,5
20480,8507,5
1052065,8507,5
231054,8507,5
440324,8507,5
425154,8507,5
511388,8507,5
447742,8507,5
844554,8507,5
485109,8507,5
400708,8507,5
74904,8507,5
738401,8507,5
1060667,8507,5
121840,69213,5
138429,69213,5
27416,69213,5
52543,69213,5
50969,69213,5
134875,69213,5
209441,69213,5
185446,69213,5
199213,69213,5
284904,69213,5
11176,69213,5
288143,69213,5
452749,69213,5
185726,69213,5
437974,69213,5
164368,69213,5
459426,69213,5
904483,69213,5
218535,69213,3
452921,69213,5
593513,69213,5
1657616,69213,5
140132,69213,5
2198343,69213,4
528468,65266,4
29956,32082,5
43216,32082,5
82367,32082,5
24386,32082,5
6357,32082,5
22655,32082,5
4291,32082,4
105601,32082,5
94087,32082,5
250031,32082,5
290298,32082,5
402559,32082,5
249657,32082,4
226066,32082,5
1020416,32082,5
769890,32082,5
73951,32082,5
229052,32082,5
176615,32082,5
1179225,32082,5
647466,86940,4
26512,34233,5
37868,34233,5
66246,34233,5
37779,34233,5
104600,34233,5
